neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Barnet,51.57016,-0.21418,Shared room,279,3,1,179,0
Southwark,51.50477,-0.09581,Shared room,19,1,4,263,114
Southwark,51.50288,-0.09171,Shared room,45,1,11,203,112
Southwark,51.50288,-0.09171,Shared room,46,1,11,198,10
Westminster,51.51934,-0.15913,Shared room,227,1,1,84,0
Hackney,51.55284,-0.07507,Shared room,90,1,1,0,0
Ealing,51.50193,-0.29709,Shared room,30,1,3,247,0
Lewisham,51.45983,-0.00447,Shared room,65,1,1,0,0
Westminster,51.51752,-0.18896,Shared room,35,1,1,0,0
Bexley,51.49452,0.12816,Shared room,35,5,1,253,9
Waltham Forest,51.5797,-0.02195,Shared room,50,5,2,270,0
Lambeth,51.44053,-0.10206,Shared room,42,2,2,0,0
Lambeth,51.43831,-0.09984,Shared room,32,3,2,0,0
Wandsworth,51.47465,-0.14856,Shared room,30,2,1,0,0
Kensington and Chelsea,51.47958,-0.18327,Shared room,50,1,1,0,0
Newham,51.51392,0.05984,Shared room,30,1,1,0,0
Islington,51.55937,-0.10866,Shared room,17,1,1,0,0
Lambeth,51.48082,-0.11692,Shared room,35,1,1,219,0
Westminster,51.49137,-0.15132,Shared room,120,1,1,80,5
Islington,51.53258,-0.11519,Shared room,30,1,1,0,0
Waltham Forest,51.59338,-0.02972,Shared room,15,1,2,0,0
Camden,51.5436,-0.16454,Shared room,1000,7,1,0,0
Croydon,51.39113,-0.1077,Shared room,70,3,6,364,1
Barnet,51.61408,-0.27783,Shared room,370,1,1,365,0
Newham,51.51049,0.03221,Shared room,120,1,1,87,7
Barnet,51.60988,-0.27595,Shared room,450,2,1,90,0
Kensington and Chelsea,51.49362,-0.18762,Shared room,50,1,1,0,0
Lambeth,51.44965,-0.12925,Shared room,50,1,1,0,0
Newham,51.52756,0.00608,Shared room,26,1,2,0,0
Lewisham,51.45259,0.00234,Shared room,26,4,1,0,0
Hammersmith and Fulham,51.49701,-0.21863,Shared room,40,1,1,0,0
Lewisham,51.45072,0.00295,Shared room,26,3,1,0,0
Greenwich,51.45137,0.05906,Shared room,120,1,12,133,1
Kensington and Chelsea,51.49623,-0.1821,Shared room,35,6,1,0,0
Westminster,51.51141,-0.18422,Shared room,29,1,10,148,17
Westminster,51.51068,-0.18573,Shared room,30,1,10,120,24
Westminster,51.51082,-0.18429,Shared room,33,1,10,109,17
Westminster,51.51108,-0.18646,Shared room,34,1,10,129,15
Westminster,51.511,-0.18428,Shared room,31,1,10,112,95
Westminster,51.51262,-0.18517,Shared room,25,1,10,147,72
Westminster,51.51063,-0.18477,Shared room,25,1,10,156,42
Greenwich,51.47225,-0.01571,Shared room,28,1,1,0,0
Redbridge,51.56309,0.11368,Shared room,25,10,4,70,1
Harrow,51.59733,-0.34585,Shared room,50,30,1,365,0
Harrow,51.58449,-0.34756,Shared room,39,7,1,0,0
Waltham Forest,51.59013,-0.03045,Shared room,30,1,1,0,0
Camden,51.5561,-0.14968,Shared room,60,3,1,0,0
Ealing,51.5089,-0.24945,Shared room,95,1,1,0,0
Southwark,51.47161,-0.09658,Shared room,87,1,4,331,2
Hounslow,51.47705,-0.3479,Shared room,50,2,1,0,0
Westminster,51.4887,-0.14258,Shared room,50,1,1,0,0
Camden,51.51862,-0.12442,Shared room,31,1,12,114,29
Camden,51.52057,-0.1243,Shared room,35,1,12,139,8
Camden,51.51864,-0.12412,Shared room,33,1,12,113,4
Camden,51.51837,-0.12383,Shared room,27,1,12,162,60
Camden,51.52064,-0.12594,Shared room,31,1,12,156,31
Camden,51.5204,-0.12569,Shared room,27,1,12,145,16
Camden,51.52019,-0.12414,Shared room,31,1,12,142,7
Camden,51.51889,-0.12401,Shared room,31,1,12,148,2
Westminster,51.50136,-0.17918,Shared room,29,1,13,128,87
Kensington and Chelsea,51.49933,-0.18043,Shared room,32,1,13,112,20
Kensington and Chelsea,51.49995,-0.18064,Shared room,28,1,13,163,12
Westminster,51.49947,-0.17941,Shared room,26,1,13,162,30
Kensington and Chelsea,51.50062,-0.1809,Shared room,29,1,13,147,39
Westminster,51.50139,-0.17875,Shared room,31,1,13,143,9
Westminster,51.50137,-0.17995,Shared room,37,1,13,94,41
Westminster,51.50018,-0.17877,Shared room,36,1,13,91,7
Westminster,51.4996,-0.17903,Shared room,36,1,13,118,13
Westminster,51.48921,-0.13639,Shared room,29,1,11,162,22
Westminster,51.49108,-0.13825,Shared room,27,1,11,165,15
Westminster,51.49134,-0.1381,Shared room,29,1,11,145,7
Westminster,51.49,-0.13874,Shared room,29,1,11,165,78
Westminster,51.49107,-0.13823,Shared room,28,1,11,168,65
Westminster,51.48939,-0.13662,Shared room,30,1,11,143,16
Westminster,51.48929,-0.13692,Shared room,30,1,11,154,18
Westminster,51.49051,-0.13651,Shared room,31,1,11,141,2
Kingston upon Thames,51.40117588987942,-0.3059553650060353,Shared room,105,7,2,1,11
Kensington and Chelsea,51.50117,-0.18066,Shared room,28,1,13,160,106
Kensington and Chelsea,51.49992,-0.18079,Shared room,32,1,13,109,11
Tower Hamlets,51.50421,-0.01176,Shared room,19,1,1,0,0
Croydon,51.36833,-0.10088,Shared room,10,5,3,0,0
Hammersmith and Fulham,51.49247,-0.21911,Shared room,25,7,1,0,0
Croydon,51.36864,-0.09914,Shared room,12,3,3,0,0
Westminster,51.51178,-0.12967,Shared room,20,3,1,0,0
Westminster,51.48933,-0.13726,Shared room,34,1,11,153,16
Kensington and Chelsea,51.50015,-0.18204,Shared room,50,365,23,179,0
Westminster,51.51234,-0.18657,Shared room,29,1,10,142,29
Lambeth,51.43177,-0.12292,Shared room,30,60,1,179,0
Hounslow,51.46008,-0.33592,Shared room,400,7,3,365,0
Barnet,51.58197,-0.22519,Shared room,42,1,8,118,1
Barnet,51.5819,-0.22696,Shared room,33,1,8,125,1
Merton,51.41203,-0.17341,Shared room,42,1,2,84,1
Kensington and Chelsea,51.49402,-0.18869,Shared room,35,1,1,0,0
Camden,51.51943,-0.13185,Shared room,87,4,121,0,0
Islington,51.55803,-0.10592,Shared room,25,30,1,0,0
Hillingdon,51.485161,-0.44109,Shared room,95,1,15,355,0
Camden,51.54317,-0.15144,Shared room,105,1,6,231,3
Barnet,51.58183,-0.22703,Shared room,23,1,8,139,4
Barnet,51.58325,-0.22709,Shared room,27,1,8,138,15
Croydon,51.36928,-0.08917,Shared room,25,2,2,102,2
Southwark,51.45245,-0.06119,Shared room,65,4,3,343,32
Newham,51.50218,0.02461,Shared room,40,2,1,149,15
Merton,51.40613,-0.23708,Shared room,30,20,6,75,16
Hounslow,51.44925,-0.41356,Shared room,45,1,1,364,1
Merton,51.40796,-0.23527,Shared room,35,20,6,75,15
Enfield,51.62721,-0.07066,Shared room,97,1,1,365,0
Brent,51.54248,-0.19969,Shared room,55,1,3,365,6
Hounslow,51.45218,-0.44506,Shared room,23,1,4,0,1
Tower Hamlets,51.526821,-0.036468,Shared room,59,1,4,133,19
Tower Hamlets,51.526821,-0.036468,Shared room,59,1,4,148,5
Harrow,51.5654,-0.37036,Shared room,14,30,2,257,0
Croydon,51.39355,-0.06707,Shared room,50,5,1,363,0
Islington,51.54017072986662,-0.1209196268213128,Shared room,85,1,1,309,0
Southwark,51.492329,-0.085136,Shared room,30,2,1,252,1
Camden,51.5277,-0.11676,Shared room,75,1,2,18,7
Hillingdon,51.48025,-0.44733,Shared room,35,7,1,345,0
Waltham Forest,51.581432,-0.028956,Shared room,251,1,1,249,0
Westminster,51.48913,-0.13784,Shared room,29,1,11,166,23
Lambeth,51.490976335147685,-0.1211740006906557,Shared room,100,1,1,364,0
Harrow,51.597439,-0.290452,Shared room,126,1,15,329,0
Waltham Forest,51.574753,-0.008438,Shared room,30,7,5,285,3
Wandsworth,51.463463,-0.23102,Shared room,150,5,1,365,0
Camden,51.53511,-0.13779,Shared room,40,1,3,341,6
Lambeth,51.475433,-0.104661,Shared room,42,1,1,0,1
Waltham Forest,51.60806038840218,-0.0039190426468849,Shared room,60,1,1,336,3
Tower Hamlets,51.50712,-0.01816,Shared room,41,2,1,1,2
Merton,51.40489039911741,-0.1535828012280067,Shared room,84,1,2,365,4
Waltham Forest,51.61418,-0.0205,Shared room,30,2,2,161,4
Merton,51.40234554100873,-0.1912160617484867,Shared room,93,1,3,90,2
Redbridge,51.55182790000001,0.1049753,Shared room,52,1,3,345,5
Merton,51.42699680135051,-0.1979140958565595,Shared room,58,3,1,142,1
Merton,51.41758716514149,-0.1455763765244974,Shared room,64,1,2,365,0
Hillingdon,51.48259407309744,-0.4374532342780055,Shared room,38,1,2,355,16
Lewisham,51.4754492270907,-0.0470304721479229,Shared room,28,2,1,322,7
Waltham Forest,51.58898538564203,-0.0335268283446796,Shared room,35,1,2,162,1
Kensington and Chelsea,51.4859198,-0.1862962,Shared room,145,1,1,331,7
Newham,51.53755304799149,0.0316186193482101,Shared room,14,1,7,348,0
Tower Hamlets,51.50962000517804,-0.0563739041553503,Shared room,26,1,1,15,1
Richmond upon Thames,51.45543263402053,-0.3074578570923547,Shared room,350,6,1,362,0
Greenwich,51.48805142983635,0.0551571148574688,Shared room,41,7,2,357,0
Lewisham,51.47548170265696,-0.0359436020939633,Shared room,36,4,30,357,0
Wandsworth,51.43806237150631,-0.1690342794826246,Shared room,55,1,1,41,1
Sutton,51.37087659599348,-0.1945355907082557,Shared room,55,1,2,354,0
Lewisham,51.47476398544253,-0.0378975166048223,Shared room,29,14,30,356,0
Wandsworth,51.4643892,-0.1841199,Shared room,60,1,1,338,1
Kensington and Chelsea,51.51617216080113,-0.2058852528116491,Shared room,38,1,1,21,5
Lewisham,51.47530801336041,-0.0378212918879811,Shared room,34,7,30,358,0
Tower Hamlets,51.543,-0.02408,Shared room,58,1,1,61,2
Merton,51.40836695965813,-0.237035452349943,Shared room,30,20,6,359,1
Barking and Dagenham,51.542716671229705,0.0762989579108769,Shared room,100,1,1,365,0
Lewisham,51.47591018312748,-0.036991038623042,Shared room,26,3,30,266,0
Lewisham,51.47589681835121,-0.0370339539672803,Shared room,27,3,30,329,0
Lewisham,51.47589681835121,-0.0370124962951612,Shared room,35,3,30,358,0
Lewisham,51.47591018312748,-0.036991038623042,Shared room,38,3,30,359,0
Lewisham,51.47586010625144,-0.0369481232788038,Shared room,41,3,30,271,0
Lewisham,51.475870088786905,-0.0369695809509229,Shared room,35,7,30,347,0
Lewisham,51.47591018312748,-0.0369481232788038,Shared room,41,5,30,353,0
Lewisham,51.47584335920694,-0.0369266656066846,Shared room,44,3,30,362,0
Lewisham,51.4757899,-0.036991038623042,Shared room,44,14,30,337,0
Lewisham,51.4757899,-0.0369481232788038,Shared room,31,14,30,332,0
Islington,51.53301155263616,-0.0978386560326944,Shared room,140,7,22,365,0
Lewisham,51.47582999441108,-0.0369481232788038,Shared room,35,3,30,363,0
Brent,51.536867670828734,-0.1924019475866703,Shared room,59,1,1,363,0
Hillingdon,51.5105797,-0.4693715,Shared room,54,1,1,365,0
